iter	RMSE
0	0.5393690551
1	0.5365152516
2	0.5337055126
3	0.5310473337
4	0.5284953172
5	0.5261568141
6	0.5237827329
7	0.521021671
8	0.5188498548
9	0.516638639
10	0.514567107
11	0.512616503
12	0.510736139
13	0.5088951523
14	0.5071832878
15	0.5055828711
16	0.5040422067
17	0.5024619683
18	0.5010023572
19	0.4995918193
20	0.4981831392
21	0.4967651724
22	0.495531933
23	0.4942074882
24	0.4929108436
25	0.4919354892
26	0.4907793163
27	0.4898945093
28	0.4891193008
29	0.488781893
30	0.4880437754
31	0.4871803357
32	0.4864111628
33	0.4854887941
34	0.4848580007
35	0.4836122962
36	0.482870691
37	0.4820969338
38	0.4814241079
39	0.4806479345
40	0.4800736253
41	0.4797946592
42	0.4795219218
43	0.4792689911
44	0.478706471
45	0.4778762063
46	0.4776442253
47	0.4770996449
48	0.4764937449
49	0.47626024
50	0.475895208
51	0.4756528685
52	0.4749151924
53	0.4743195476
54	0.47383242
55	0.473604717
56	0.4733742753
57	0.4731639277
58	0.4728841352
59	0.472382329
60	0.4718179676
61	0.4713905297
62	0.4711975193
63	0.4705177245
64	0.4698447535
65	0.4695686805
66	0.4692880817
67	0.4690967019
68	0.4689024317
69	0.4687108481
70	0.4684507553
71	0.4682147431
72	0.4679882037
73	0.4675283817
74	0.4670401426
75	0.46670972
76	0.4665025116
77	0.4663131785
78	0.4657008711
79	0.4655390055
80	0.4653805195
81	0.4651914465
82	0.4647384125
83	0.4637225493
84	0.4635487907
85	0.4629275506
86	0.4627876254
87	0.4626175178
88	0.4624463387
89	0.4619295934
90	0.46172563
91	0.4612783361
92	0.4611623357
93	0.4607201198
94	0.4603744438
95	0.4594802177
96	0.459275446
97	0.4588443361
98	0.4583778691
99	0.4582644943
100	0.4581169035
101	0.458002231
102	0.4573088192
103	0.4571830957
104	0.4570562802
105	0.4566320814
106	0.4561012549
107	0.4559989518
108	0.4559014776
109	0.4557149212
110	0.455607956
111	0.4551422095
112	0.4549602572
113	0.4546925893
114	0.4545046299
115	0.4540306601
116	0.4536113479
117	0.4535156024
118	0.4534175841
119	0.4530908848
120	0.4530079424
121	0.4526947857
122	0.4525136411
123	0.4522272926
124	0.4518838746
125	0.4518058424
126	0.4515884155
127	0.451499955
128	0.4511991956
129	0.450996374
130	0.4508748792
131	0.4505825267
132	0.4503368171
133	0.4502597236
134	0.4501919039
135	0.4501030306
136	0.4500209246
137	0.4498902496
138	0.4497668537
139	0.449586654
140	0.4495061745
141	0.4493862125
142	0.4490690605
143	0.4489969282
144	0.4489326446
145	0.4485983286
146	0.4485219978
147	0.4484096952
148	0.4482034781
149	0.4479763371
150	0.4477672329
151	0.4474233953
152	0.4473409506
153	0.4469918695
154	0.4469378774
155	0.446691502
156	0.446644039
157	0.4465249973
158	0.4463031393
159	0.4461634702
160	0.4461206412
161	0.4454125024
162	0.4453559938
163	0.4450227161
164	0.4448133104
165	0.4447173845
166	0.4446631337
167	0.4445866252
168	0.4442775676
169	0.4441694509
170	0.4434091283
171	0.443267701
172	0.4431698123
173	0.4430789404
174	0.4430321915
175	0.4429857526
176	0.4427908476
177	0.4426427109
178	0.442592883
179	0.4422748499
180	0.4416502198
181	0.4413176587
182	0.4410832904
183	0.4410344258
184	0.4407119403
185	0.440538173
186	0.4404973354
187	0.4398118703
188	0.4396790351
189	0.4396398739
190	0.4396043578
191	0.4393844832
192	0.4393015538
193	0.4391628758
194	0.439128569
195	0.4390992227
196	0.4389874595
197	0.4389507769
198	0.4388814458
199	0.4383007701
200	0.4381284017
201	0.4380493785
202	0.437415419
203	0.4373808927
204	0.4372265697
205	0.4371946347
206	0.4371241908
207	0.4369357354
208	0.4367613968
209	0.4367363673
210	0.4365649897
211	0.4364511225
212	0.4364089972
213	0.4361196027
214	0.4355208838
215	0.4354845463
216	0.434976945
217	0.4349524022
218	0.4343766298
219	0.4343272659
220	0.4343001542
221	0.433739822
222	0.4335839187
223	0.4335540544
224	0.4335277105
225	0.4335016849
226	0.4333778316
227	0.4331090643
228	0.4330693637
229	0.4329184388
