iter	Passed	Remaining
0	37	26475
1	76	26708
2	116	26983
3	153	26757
4	192	26761
5	229	26492
6	274	27161
7	315	27269
8	353	27106
9	395	27311
10	438	27471
11	479	27487
12	524	27708
13	564	27666
14	604	27626
15	647	27671
16	686	27569
17	728	27584
18	766	27464
19	809	27535
20	851	27528
21	892	27489
22	933	27478
23	974	27444
24	1014	27378
25	1055	27368
26	1095	27314
27	1137	27292
28	1174	27180
29	1219	27234
30	1256	27119
31	1297	27091
32	1335	26999
33	1375	26952
34	1413	26852
35	1456	26858
36	1494	26778
37	1536	26767
38	1573	26675
39	1608	26546
40	1645	26444
41	1682	26354
42	1723	26336
43	1769	26380
44	1812	26377
45	1856	26393
46	1884	26182
47	1926	26164
48	1967	26134
49	2009	26119
50	2050	26099
51	2087	26016
52	2129	26000
53	2164	25898
54	2201	25812
55	2240	25760
56	2277	25689
57	2318	25668
58	2356	25604
59	2392	25520
60	2433	25488
61	2474	25461
62	2513	25419
63	2556	25404
64	2593	25341
65	2635	25316
66	2672	25248
67	2712	25207
68	2749	25145
69	2788	25098
70	2825	25027
71	2861	24956
72	2898	24892
73	2935	24833
74	2975	24793
75	3008	24701
76	3043	24626
77	3080	24566
78	3122	24546
79	3161	24498
80	3201	24462
81	3235	24388
82	3277	24365
83	3317	24329
84	3356	24284
85	3398	24263
86	3438	24230
87	3480	24208
88	3518	24152
89	3558	24119
90	3600	24096
91	3638	24046
92	3659	23884
93	3700	23855
94	3738	23808
95	3778	23773
96	3813	23708
97	3851	23659
98	3888	23608
99	3924	23549
100	3962	23499
101	4001	23462
102	4041	23427
103	4075	23357
104	4109	23286
105	4149	23255
106	4188	23210
107	4223	23151
108	4261	23104
109	4301	23072
110	4343	23048
111	4383	23015
112	4420	22963
113	4460	22930
114	4497	22880
115	4540	22858
116	4579	22817
117	4614	22762
118	4649	22702
119	4687	22658
120	4724	22605
121	4762	22562
122	4798	22510
123	4838	22475
124	4881	22455
125	4920	22417
126	4960	22382
127	5004	22362
128	5045	22331
129	5082	22285
130	5120	22243
131	5162	22212
132	5199	22166
133	5228	22085
134	5265	22038
135	5302	21988
136	5338	21939
137	5374	21887
138	5416	21859
139	5453	21814
140	5494	21784
141	5532	21739
142	5571	21702
143	5606	21645
144	5641	21593
145	5682	21560
146	5721	21524
147	5761	21487
148	5801	21453
149	5842	21422
150	5886	21403
151	5930	21380
152	5970	21344
153	6012	21317
154	6049	21271
155	6091	21241
156	6122	21174
157	6158	21126
158	6201	21099
159	6240	21063
160	6269	20987
161	6307	20946
162	6343	20897
163	6382	20861
164	6425	20834
165	6465	20798
166	6502	20752
167	6536	20699
168	6576	20664
169	6612	20616
170	6653	20582
171	6697	20558
172	6737	20523
173	6778	20491
174	6812	20437
175	6849	20394
176	6893	20367
177	6936	20341
178	6979	20313
179	7031	20313
180	7078	20296
181	7121	20269
182	7168	20251
183	7212	20227
184	7260	20212
185	7307	20194
186	7344	20148
187	7393	20135
188	7441	20119
189	7482	20084
190	7515	20028
191	7561	20006
192	7604	19977
193	7651	19957
194	7697	19933
195	7743	19913
196	7785	19879
197	7828	19848
198	7868	19810
199	7916	19790
200	7967	19779
201	8009	19745
202	8052	19713
203	8091	19672
204	8133	19639
205	8177	19608
206	8219	19576
207	8262	19543
208	8306	19515
209	8347	19477
210	8388	19440
211	8431	19407
212	8477	19382
213	8530	19372
214	8579	19353
215	8618	19312
216	8667	19292
217	8703	19243
218	8752	19223
219	8795	19191
220	8839	19159
221	8888	19138
222	8953	19152
223	8999	19124
224	9041	19087
225	9088	19061
226	9142	19050
227	9197	19041
228	9247	19020
229	9305	19015
230	9360	19004
231	9412	18987
232	9468	18977
233	9529	18977
234	9576	18948
235	9623	18921
236	9674	18900
237	9722	18873
238	9767	18840
239	9812	18806
240	9835	18732
241	9887	18712
242	9935	18684
243	9980	18651
244	10025	18618
245	10068	18582
246	10109	18541
247	10156	18510
248	10199	18473
249	10220	18396
250	10246	18328
251	10287	18289
252	10329	18250
253	10370	18209
254	10413	18172
255	10458	18138
256	10498	18096
257	10538	18055
258	10578	18011
259	10620	17972
260	10661	17932
261	10684	17861
262	10725	17821
263	10776	17797
264	10822	17765
265	10868	17732
266	10915	17702
267	10959	17666
268	11004	17632
269	11029	17565
270	11081	17541
271	11126	17508
272	11173	17476
273	11219	17443
274	11264	17408
275	11307	17371
276	11348	17329
277	11390	17290
278	11432	17251
279	11475	17213
280	11514	17168
281	11552	17123
282	11589	17076
283	11627	17032
284	11668	16991
285	11707	16946
286	11746	16902
287	11786	16861
288	11827	16820
289	11874	16788
290	11921	16756
291	11968	16722
292	12017	16692
293	12059	16654
294	12104	16617
295	12150	16583
296	12192	16544
297	12241	16513
298	12287	16479
299	12330	16441
300	12364	16390
301	12408	16352
302	12452	16315
303	12497	16280
304	12546	16249
305	12590	16211
306	12634	16173
307	12676	16133
308	12711	16084
309	12754	16045
310	12793	16001
311	12833	15959
312	12876	15920
313	12915	15876
314	12953	15832
315	12996	15793
316	13055	15773
317	13104	15741
318	13153	15709
319	13195	15669
320	13219	15608
321	13281	15591
322	13328	15556
323	13395	15545
324	13474	15547
325	13542	15537
326	13602	15515
327	13676	15511
328	13764	15521
329	13946	15637
330	14394	16047
331	14890	16505
332	14980	16509
333	15068	16512
334	15174	16533
335	15261	16533
336	15347	16531
337	15428	16524
338	15520	16527
339	15653	16574
340	15737	16568
341	15817	16557
342	15897	16546
343	15972	16529
344	16047	16512
345	16093	16465
346	16167	16446
347	16227	16413
348	16290	16384
349	16349	16349
350	16406	16313
351	16462	16275
352	16515	16234
353	16560	16185
354	16611	16143
355	16655	16094
356	16703	16048
357	16752	16003
358	16797	15955
359	16847	15911
360	16893	15863
361	16943	15819
362	16990	15773
363	17045	15734
364	17104	15698
365	17153	15653
366	17206	15612
367	17253	15565
368	17296	15515
369	17344	15469
370	17390	15421
371	17442	15379
372	17491	15334
373	17536	15285
374	17582	15238
375	17639	15200
376	17706	15170
377	17757	15126
378	17805	15080
379	17846	15028
380	17893	14982
381	17938	14932
382	17988	14888
383	18110	14903
384	18214	14902
385	18368	14942
386	18438	14913
387	18530	14900
388	18601	14871
389	18676	14845
390	18741	14810
391	18805	14775
392	18863	14735
393	18917	14692
394	18968	14646
395	19020	14601
396	19071	14555
397	19118	14507
398	19165	14457
399	19208	14406
400	19253	14356
401	19306	14311
402	19352	14262
403	19399	14213
404	19442	14161
405	19488	14112
406	19533	14062
407	19577	14011
408	19623	13961
409	19661	13907
410	19709	13858
411	19753	13808
412	19795	13756
413	19840	13705
414	19884	13655
415	19930	13606
416	19977	13558
417	20019	13506
418	20067	13458
419	20113	13408
420	20155	13356
421	20203	13309
422	20250	13260
423	20297	13212
424	20345	13164
425	20393	13117
426	20435	13065
427	20485	13018
428	20531	12969
429	20576	12920
430	20618	12868
431	20664	12819
432	20709	12770
433	20774	12732
434	20840	12695
435	20913	12663
436	20984	12629
437	21064	12600
438	21128	12561
439	21183	12517
440	21240	12474
441	21300	12433
442	21353	12387
443	21396	12336
444	21447	12289
445	21489	12238
446	21535	12189
447	21580	12138
448	21620	12086
449	21666	12036
450	21716	11989
451	21758	11938
452	21801	11887
453	21844	11836
454	21889	11786
455	21937	11738
456	21984	11689
457	22026	11638
458	22071	11588
459	22120	11541
460	22173	11495
461	22216	11444
462	22257	11393
463	22302	11343
464	22346	11293
